***begin of header***
date&time [local time];serial-no;type;PM10 [ug/m3];PM2,5 [ug/m3];PM1 [ug/m3];0,35 [um];0,46 [um];0,66 [um];1,0 [um];1,3 [um];1,7 [um];2,3 [um];3,0 [um];4,0 [um];5,2 [um];6,5 [um];8,0 [um];10 [um];12 [um];14 [um];16 [um];18 [um];20 [um];22 [um];25 [um];28 [um];31 [um];34 [um];37 [um];serial-OPC;T-out [°C];T-aerosol [°C];rH [%];date&time [UTC];longitude [°];latitude [°];height [m];time-resolution [s];software-version;last calibration [local time];configuration version
***end of header***

2019-07-07 00:00:48;SN19011;measure;0,82;0,81;0,63;484;27;8;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,1;31,1;20,2;2019-07-06 22:00:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:01:48;SN19011;measure;1,70;1,28;0,64;488;24;4;3;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,1;31,1;20,2;2019-07-06 22:01:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:02:48;SN19011;measure;1,75;1,11;0,66;503;19;8;5;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,1;31,1;20,2;2019-07-06 22:02:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:03:48;SN19011;measure;1,03;0,97;0,64;481;21;8;4;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,1;31,1;20,2;2019-07-06 22:03:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:04:48;SN19011;measure;1,55;0,92;0,59;480;15;7;3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,1;31,1;20,2;2019-07-06 22:04:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:05:48;SN19011;measure;1,17;0,99;0,65;476;29;8;3;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,1;31,1;20,2;2019-07-06 22:05:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:06:48;SN19011;measure;2,66;1,19;0,63;456;27;7;6;4;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,1;31,1;20,3;2019-07-06 22:06:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:07:48;SN19011;measure;0,65;0,64;0,57;457;28;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,1;31,1;20,3;2019-07-06 22:07:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:08:48;SN19011;measure;6,48;0,96;0,65;508;19;7;4;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,1;31,1;20,3;2019-07-06 22:08:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:09:48;SN19011;measure;1,52;0,90;0,56;460;24;10;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,1;31,1;20,3;2019-07-06 22:09:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:10:48;SN19011;measure;0,90;0,85;0,60;469;24;6;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,1;31,1;20,3;2019-07-06 22:10:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:11:48;SN19011;measure;1,00;0,82;0,56;486;19;5;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,1;31,1;20,3;2019-07-06 22:11:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:12:48;SN19011;measure;1,25;0,79;0,55;429;13;10;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,3;2019-07-06 22:12:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:13:48;SN19011;measure;0,78;0,76;0,58;459;25;8;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,3;2019-07-06 22:13:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:14:48;SN19011;measure;1,13;1,04;0,62;465;27;5;5;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,1;31,1;20,4;2019-07-06 22:14:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:15:48;SN19011;measure;1,23;0,93;0,56;452;22;8;1;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,3;2019-07-06 22:15:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:16:48;SN19011;measure;0,75;0,74;0,61;463;30;6;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,4;2019-07-06 22:16:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:17:48;SN19011;measure;1,24;0,94;0,61;461;29;11;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,3;2019-07-06 22:17:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:18:48;SN19011;measure;1,34;1,08;0,62;444;26;11;3;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,4;2019-07-06 22:18:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:19:48;SN19011;measure;1,39;1,06;0,65;478;33;13;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,4;2019-07-06 22:19:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:20:48;SN19011;measure;0,94;0,77;0,52;450;18;5;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,4;2019-07-06 22:20:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:21:49;SN19011;measure;4,99;1,09;0,64;454;22;8;8;3;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,4;2019-07-06 22:21:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:22:48;SN19011;measure;1,15;0,96;0,63;502;23;4;6;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,4;2019-07-06 22:22:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:23:48;SN19011;measure;0,97;0,81;0,56;453;23;7;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,4;2019-07-06 22:23:48;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:24:49;SN19011;measure;1,24;0,79;0,58;466;24;10;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,5;2019-07-06 22:24:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:25:49;SN19011;measure;1,78;1,14;0,63;454;35;11;3;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,5;2019-07-06 22:25:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:26:49;SN19011;measure;1,18;0,97;0,62;480;25;9;4;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,5;2019-07-06 22:26:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:27:49;SN19011;measure;2,69;1,21;0,64;468;26;9;7;2;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,5;2019-07-06 22:27:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:28:49;SN19011;measure;0,86;0,79;0,56;464;28;5;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,5;2019-07-06 22:28:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:29:49;SN19011;measure;4,23;0,84;0,54;446;23;8;0;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;31,0;31,0;20,5;2019-07-06 22:29:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
