***begin of header***
date&time [local time];date&time [UTC];longitude [°];lattitude [°];height [m];PM10 [ug/m3];PM4 [ug/m3];PM2.5 [ug/m3];PM1 [ug/m3];0,25 µm;0,28 µm;0,30 µm;0,35 µm;0,40 µm;0,45 µm;0,50 µm;0,58 µm;0,65 µm;0,70 µm;0,80 µm;1,00 µm;1,30 µm;1,60 µm;2,00 µm;2,50 µm;3,00 µm;3,50 µm;4,00 µm;5,00 µm;6,50 µm;7,50 µm;8,50 µm;10,00 µm;12,50 µm;15,00 µm;17,50 µm;20,00 µm;25,00 µm;30,00 µm;32,00 µm;Temp. [°C]; humidity [%rH]; pressure [hPa];serial-No;software-version
***end of header***

2020-08-16 00:03:18;2020-08-15 22:03:18;E10,899433;N48,366218;H512,5;15,9;14,1;13,4;12,6;61809;42273;30755;17920;6593;1471;1408;297;114;111;56;58;29;26;27;13;3;5;4;1;1;0;1;0;0;0;0;0;0;0;0;22,5;72,5;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 00:08:18;2020-08-15 22:08:18;E10,899435;N48,366232;H516,1;14,1;13,7;13,3;12,7;61980;42648;30966;18115;6729;1487;1475;354;91;130;78;67;44;17;20;9;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;22,5;72,3;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 00:13:18;2020-08-15 22:13:18;E10,899355;N48,366340;H504,1;15,7;14,5;13,9;12,9;62916;43322;31651;18154;6987;1536;1492;393;117;121;103;64;23;36;29;17;5;4;3;1;0;1;0;0;0;0;0;0;0;0;0;22,7;71,7;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 00:18:18;2020-08-15 22:18:18;E10,899537;N48,366233;H511,7;16,0;14,9;14,2;13,4;64642;44870;32884;19467;7418;1749;1775;462;113;135;87;58;25;34;23;17;4;3;3;1;0;1;0;0;0;0;0;0;0;0;0;22,9;71,3;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 00:23:18;2020-08-15 22:23:18;E10,899560;N48,366283;H510,0;16,4;15,5;14,8;13,8;66863;46541;34012;20117;7724;1756;1752;435;107;133;81;64;28;33;37;14;5;3;3;3;0;0;0;0;0;0;0;0;0;0;0;22,9;71,3;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 00:28:18;2020-08-15 22:28:18;E10,899563;N48,366248;H513,8;18,2;16,5;15,9;15,0;72341;51046;36679;21885;8604;1898;1856;491;137;137;93;79;35;28;27;14;3;3;4;0;1;0;0;1;0;0;0;0;0;0;0;22,9;70,9;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 00:33:18;2020-08-15 22:33:18;E10,899643;N48,366158;H518,4;15,8;15,2;14,7;13,8;66442;46748;33882;19988;7688;1722;1729;419;119;128;94;75;31;35;37;13;3;3;1;0;1;0;0;0;0;0;0;0;0;0;0;23,1;70,7;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 00:38:18;2020-08-15 22:38:18;E10,899638;N48,366272;H514,0;16,2;15,3;14,6;13,6;65504;46269;33809;20206;7617;1718;1658;413;110;143;72;62;33;36;33;15;4;5;3;1;1;0;0;0;0;0;0;0;0;0;0;22,9;70,7;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 00:43:18;2020-08-15 22:43:18;E10,899583;N48,366298;H513,0;17,5;16,2;15,5;14,5;69332;49276;36367;21819;8846;1925;1985;505;139;143;95;65;27;28;37;13;4;4;5;1;0;1;0;0;0;0;0;0;0;0;0;22,9;70,9;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 00:48:19;2020-08-15 22:48:18;E10,899452;N48,366508;H509,4;16,7;15,2;14,6;13,8;65790;47243;34852;21032;8064;1813;1879;458;125;120;82;75;27;31;19;11;3;4;4;1;1;1;0;0;0;0;0;0;0;0;0;22,9;70,9;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 00:53:19;2020-08-15 22:53:18;E10,899592;N48,366417;H513,5;16,7;16,3;15,7;14,7;69036;49663;36992;22093;9072;2121;2232;505;139;143;98;86;32;45;28;17;8;1;4;0;0;0;0;0;0;0;0;0;0;0;0;22,9;71,5;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 00:58:19;2020-08-15 22:58:18;E10,899632;N48,366295;H519,7;18,0;16,2;15,4;14,1;66492;47860;36017;21823;8648;1962;2004;510;135;125;93;80;35;41;44;22;5;4;3;3;0;0;1;0;0;0;0;0;0;0;0;22,9;71,5;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 01:03:19;2020-08-15 23:03:18;E10,899477;N48,366372;H520,3;16,5;15,5;14,7;13,6;64643;46085;34840;21640;8286;1828;1881;438;104;129;61;55;36;40;41;16;4;4;4;1;1;0;0;0;0;0;0;0;0;0;0;22,7;72,1;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 01:08:19;2020-08-15 23:08:19;E10,899455;N48,366397;H522,9;16,5;15,8;15,1;14,3;67233;48579;36650;22621;8769;1956;2013;487;121;114;75;75;35;24;25;14;4;5;5;1;0;0;0;0;0;0;0;0;0;0;0;22,5;72,3;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 01:13:19;2020-08-15 23:13:19;E10,899553;N48,366475;H4821,9888;16,7;16,2;15,7;14,7;69680;49872;37826;23632;8918;2028;2003;456;108;128;79;61;34;39;29;13;5;2;3;1;0;0;0;0;0;0;0;0;0;0;0;22,7;72,3;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 01:18:19;2020-08-15 23:18:19;E10,899448;N48,366583;H521,6;16,7;15,7;15,1;14,1;66931;48384;36125;22528;8645;1906;1902;455;104;126;81;65;31;33;32;16;4;3;2;1;0;1;0;0;0;0;0;0;0;0;0;22,7;72,1;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 01:23:19;2020-08-15 23:23:19;E10,899482;N48,366373;H539,6;16,1;15,7;15,3;14,4;67236;49022;37318;23381;9195;2133;2119;517;126;131;90;72;29;20;41;12;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;22,5;72,3;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 01:28:19;2020-08-15 23:28:19;E10,899638;N48,366233;H546,0;16,6;16,0;15,4;14,5;67230;49013;37433;23645;9594;2153;2193;521;140;174;83;56;25;31;36;15;4;3;3;1;0;0;0;0;0;0;0;0;0;0;0;22,5;72,7;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 01:33:19;2020-08-15 23:33:19;E10,899435;N48,366368;H543,9;17,0;15,5;14,9;14,1;65460;47884;37061;22939;9050;2042;2085;393;119;127;107;79;32;35;23;13;4;2;3;0;1;0;1;0;0;0;0;0;0;0;0;22,3;73,2;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 01:38:19;2020-08-15 23:38:19;E10,899618;N48,366310;H542,3;15,9;15,5;15,0;14,0;65363;47745;36749;23361;9158;2071;1887;417;106;131;83;75;29;42;28;16;4;3;3;0;0;0;0;0;0;0;0;0;0;0;0;22,3;73,2;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 01:43:19;2020-08-15 23:43:19;E10,899593;N48,366242;H518,9;16,2;15,7;15,1;14,1;65794;47780;37205;23184;9121;2038;2122;433;114;135;75;73;36;25;31;19;5;1;3;1;0;0;0;0;0;0;0;0;0;0;0;22,3;73,4;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 01:48:19;2020-08-15 23:48:14;E10,899542;N48,366257;H505,1;17,4;16,2;15,7;14,8;68748;50407;39296;24854;10104;2204;2165;502;125;131;58;63;24;40;21;16;3;3;2;1;0;1;0;0;1;0;0;0;0;0;0;22,3;73,6;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 01:53:19;2020-08-15 23:53:14;E10,899537;N48,366312;H509,5;16,8;16,3;15,7;14,9;68105;50318;39326;25379;10196;2326;2448;546;144;136;94;80;24;34;23;12;5;1;4;1;0;0;0;0;0;0;0;0;0;0;0;22,1;73,8;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 01:58:19;2020-08-15 23:58:14;E10,899322;N48,366332;H517,9;16,8;16,4;15,9;15,0;67880;50232;39916;25860;10771;2493;2579;648;162;151;89;70;30;40;28;12;3;2;2;1;0;0;0;0;0;0;0;0;0;0;0;22,1;74,0;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 02:03:19;2020-08-16 00:03:14;E10,899582;N48,366210;H511,3;17,5;16,5;15,9;14,8;67939;50270;39200;25080;10227;2342;2453;538;135;132;80;51;27;45;42;17;4;2;3;0;0;1;0;0;0;0;0;0;0;0;0;22,1;73,8;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 02:08:19;2020-08-16 00:08:14;E10,899633;N48,366258;H511,3;19,0;17,1;16,4;15,5;71005;52478;40752;26187;10773;2465;2393;495;121;147;85;90;26;44;28;14;5;3;2;2;1;0;1;0;0;0;0;0;0;0;0;22,1;73,8;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 02:13:19;2020-08-16 00:13:14;E10,899558;N48,366267;H499,7;18,1;16,7;16,0;15,1;69404;51416;39970;25490;10115;2340;2213;549;149;145;80;82;32;35;21;14;3;4;5;2;0;1;0;0;0;0;0;0;0;0;0;22,1;73,8;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 02:18:19;2020-08-16 00:18:15;E10,899523;N48,366288;H495,3;19,2;17,2;16,6;15,6;71929;53474;41792;26452;10587;2397;2357;470;129;162;95;73;40;38;26;14;5;5;1;0;2;0;0;1;0;0;0;0;0;0;0;21,9;74,2;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 02:23:19;2020-08-16 00:23:15;E10,899473;N48,366320;H511,0;17,8;16,4;15,9;15,0;68965;50751;39952;25450;10295;2344;2219;425;127;121;86;62;34;31;35;13;3;2;3;1;0;0;1;0;0;0;0;0;0;0;0;21,9;74,8;NA;7H170013;SW V7-0 (2020-04-06)
2020-08-16 02:28:19;2020-08-16 00:28:15;E10,899440;N48,366348;H511,3;19,1;18,5;17,9;16,9;77198;57483;44852;28476;11830;2701;2648;586;137;146;96;80;39;29;32;19;5;3;3;1;0;0;0;0;0;0;0;0;0;0;0;21,9;75,0;NA;7H170013;SW V7-0 (2020-04-06)
