***begin of header***
date&time [local time];date&time [UTC];longitude [°];lattitude [°];height [m];PM10 [ug/m3];PM4 [ug/m3];PM2.5 [ug/m3];PM1 [ug/m3];0,25 µm;0,28 µm;0,30 µm;0,35 µm;0,40 µm;0,45 µm;0,50 µm;0,58 µm;0,65 µm;0,70 µm;0,80 µm;1,00 µm;1,30 µm;1,60 µm;2,00 µm;2,50 µm;3,00 µm;3,50 µm;4,00 µm;5,00 µm;6,50 µm;7,50 µm;8,50 µm;10,00 µm;12,50 µm;15,00 µm;17,50 µm;20,00 µm;25,00 µm;30,00 µm;32,00 µm;Temp. [°C]; humidity [%rH]; pressure [hPa];serial-No;software-version
***end of header***

2020-08-16 00:02:57;2020-08-15 22:02:44;E10,906860;N48,358303;H490,0;17,9;17,6;17,2;16,4;74843;57738;46142;31869;9263;3100;1867;384;100;110;83;17;91;38;23;10;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;21,1;0,0;954,3;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 00:07:57;2020-08-15 22:07:45;E10,906860;N48,358303;H490,0;18,3;18,0;17,5;16,6;75379;58495;46956;32787;9560;3382;1956;423;121;112;99;15;83;30;25;13;4;3;2;0;0;0;0;0;0;0;0;0;0;0;0;21,1;0,0;954,3;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 00:12:57;2020-08-15 22:12:45;E10,906860;N48,358303;H490,0;18,5;18,2;17,7;16,7;75617;58897;47132;33222;9789;3295;1963;385;122;118;83;25;85;51;28;11;5;2;2;0;0;0;0;0;0;0;0;0;0;0;0;20,7;0,0;954,3;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 00:17:57;2020-08-15 22:17:45;E10,906860;N48,358303;H490,0;17,9;17,7;17,3;16,3;73908;57694;46694;32395;9689;3312;2007;369;93;120;69;13;85;37;32;13;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;20,7;0,0;954,3;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 00:22:57;2020-08-15 22:22:46;E10,906860;N48,358303;H490,0;18,1;17,8;17,4;16,4;74219;57875;46248;32968;9501;3232;1923;395;109;110;95;20;96;32;29;13;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;20,9;0,0;954,3;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 00:27:57;2020-08-15 22:27:46;E10,906860;N48,358303;H490,0;18,1;17,8;17,4;16,5;74671;58219;46752;33195;9863;3254;2126;377;126;129;78;14;85;35;26;9;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;20,7;0,0;954,3;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 00:32:57;2020-08-15 22:32:46;E10,906860;N48,358303;H490,0;17,8;17,6;17,2;16,4;73920;58004;47095;33048;9907;3259;2006;374;123;91;86;20;89;28;20;11;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;20,9;0,0;954,3;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 00:37:57;2020-08-15 22:37:46;E10,906860;N48,358303;H490,0;18,7;18,3;17,8;16,7;75044;58977;47842;34276;10117;3417;2070;408;123;115;93;26;87;47;34;10;5;2;1;1;0;0;0;0;0;0;0;0;0;0;0;20,9;0,0;954,3;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 00:42:58;2020-08-15 22:42:47;E10,906860;N48,358303;H490,0;18,6;17,7;17,3;16,4;73061;58086;47614;34481;9918;3530;1971;395;119;131;80;16;88;26;23;11;4;1;1;1;0;1;0;0;0;0;0;0;0;0;0;20,5;0,0;954,3;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 00:47:58;2020-08-15 22:47:47;E10,906860;N48,358303;H490,0;19,0;18,3;17,7;16,8;74713;59156;48088;34866;10352;3543;2158;435;90;114;73;14;85;29;27;15;3;3;3;0;1;0;0;0;0;0;0;0;0;0;0;20,5;0,0;954,3;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 00:52:58;2020-08-15 22:52:47;E10,906860;N48,358303;H490,0;18,3;18,1;17,7;16,7;73972;59512;48180;34439;10288;3582;2168;384;149;131;91;27;88;41;33;11;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;20,7;0,0;954,3;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 00:57:58;2020-08-15 22:57:47;E10,906860;N48,358303;H490,0;18,4;18,0;17,5;16,6;73126;58370;47956;34637;10485;3491;2298;418;100;130;83;19;81;45;24;11;4;3;1;1;0;0;0;0;0;0;0;0;0;0;0;20,4;0,0;954,3;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 01:02:58;2020-08-15 23:02:48;E10,906860;N48,358303;H490,0;17,9;17,6;17,2;16,4;72546;57574;47013;34435;10286;3597;2100;400;113;106;87;18;67;43;22;9;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;20,2;0,0;954,3;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 01:07:58;2020-08-15 23:07:48;E10,906860;N48,358303;H490,0;18,2;17,9;17,6;16,6;72807;58204;48433;35269;10475;3662;2289;393;110;117;88;14;87;50;27;12;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;20,5;0,0;954,3;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 01:12:58;2020-08-15 23:12:48;E10,906860;N48,358303;H490,0;19,8;18,6;18,1;17,2;74613;60545;50677;37720;11576;4032;2314;434;118;102;84;17;70;40;26;14;4;1;2;0;0;0;0;1;0;0;0;0;0;0;0;20,5;0,0;954,3;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 01:17:58;2020-08-15 23:17:49;E10,906860;N48,358303;H490,0;19,3;18,9;18,5;17,5;76016;60648;51568;38500;11685;4216;2306;413;145;121;80;19;83;30;35;13;3;2;1;1;0;0;0;0;0;0;0;0;0;0;0;20,2;0,0;954,3;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 01:22:58;2020-08-15 23:22:49;E10,906860;N48,358303;H490,0;19,6;19,4;18,9;17,8;76217;61877;52729;39190;12219;4429;2694;465;139;122;97;15;86;36;37;14;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;20,0;0,0;952,5;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 01:27:58;2020-08-15 23:27:49;E10,906860;N48,358303;H490,0;20,3;19,7;19,2;18,1;77716;62776;53813;40054;12484;4473;2764;465;150;134;106;23;83;48;34;14;2;1;2;1;0;0;0;0;1;0;0;0;0;0;0;19,8;0,0;954,3;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 01:32:58;2020-08-15 23:32:49;E10,906860;N48,358303;H490,0;19,5;19,3;18,9;18,0;76776;62462;52862;40980;12777;4633;2793;480;137;118;81;18;81;39;28;8;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;20,0;0,0;954,3;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 01:37:58;2020-08-15 23:37:50;E10,906860;N48,358303;H490,0;19,7;19,5;19,1;18,0;76264;62376;53588;41049;13172;4743;2786;478;149;112;84;15;87;38;32;14;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;20,0;0,0;954,3;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 01:42:58;2020-08-15 23:42:50;E10,906860;N48,358303;H490,0;19,7;19,5;19,0;18,0;75851;62421;53419;40273;12980;4718;2929;483;132;157;103;19;79;41;33;13;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;20,2;0,0;954,3;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 01:47:58;2020-08-15 23:47:50;E10,906860;N48,358303;H490,0;19,9;19,5;19,0;17,9;75630;62160;53378;40880;13063;4754;2860;478;145;116;73;17;89;43;31;17;4;0;2;1;0;0;0;0;0;0;0;0;0;0;0;19,8;0,0;954,3;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 01:52:59;2020-08-15 23:52:50;E10,906860;N48,358303;H490,0;19,9;19,6;19,1;18,0;75435;62280;53865;41663;13207;4885;2857;493;144;106;81;20;82;39;37;14;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;19,8;0,0;954,3;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 01:57:59;2020-08-15 23:57:51;E10,906860;N48,358303;H490,0;19,9;19,4;19,0;18,2;75882;63252;55266;42145;13524;5138;2830;473;122;91;87;20;85;36;21;10;3;1;1;0;1;0;0;0;0;0;0;0;0;0;0;19,6;0,0;952,5;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 02:02:59;2020-08-16 00:02:51;E10,906860;N48,358303;H490,0;19,9;19,5;19,2;18,3;76603;63041;55700;42579;13794;4963;2884;478;119;134;88;18;73;30;25;10;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;19,2;0,0;952,5;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 02:07:59;2020-08-16 00:07:51;E10,906860;N48,358303;H490,0;20,0;19,9;19,5;18,6;76394;64337;56809;43908;14148;5415;3176;512;123;133;98;16;98;38;23;11;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;19,4;0,0;952,5;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 02:12:59;2020-08-16 00:12:52;E10,906860;N48,358303;H490,0;20,9;20,7;20,4;19,4;79829;66387;58639;45849;14894;5606;3167;546;137;115;103;24;103;44;22;11;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;19,4;0,0;952,5;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 02:17:59;2020-08-16 00:17:52;E10,906860;N48,358303;H490,0;20,1;19,8;19,4;18,4;76209;63875;55931;42811;13534;5063;2988;517;153;132;101;15;83;39;31;15;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;19,6;0,0;952,5;@@@SRISS;SW V7-0 (2020-04-06)
2020-08-16 02:22:59;2020-08-16 00:22:52;E10,906860;N48,358303;H490,0;19,5;19,3;18,9;17,8;74644;61617;53202;40388;13156;4668;2983;563;122;117;105;16;100;38;28;15;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;19,8;0,0;952,5;@@@SRISS;SW V7-0 (2020-04-06)
