
***begin of header***
date&time [local time];type;PM10 [ug/m3];PM4 [ug/m3];PM2.5 [ug/m3];PM1 [ug/m3];CalPM10;CalPM4;CalPM2.5;CalPM1;T-fact;T-out [°C];T-aerosol[°C];rH [%];status;date&time [UTC];longitude;lattitude;height [m];serial-no;time-resolution;software-version;cell-no;last calibration [local time]
***end of header***

2020-08-17 00:05:00;measure;11,5;10,3;8,7;8,3;1,1;1,2;1,1;1,1;0,8;27,1;36,0;30,6;800,0;2020-08-16 22:04:20;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 00:10:00;measure;4,8;3,6;3,6;3,6;1,1;1,2;1,1;1,1;0,8;26,9;35,7;31,1;800,0;2020-08-16 22:09:20;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 00:15:00;measure;4,6;3,2;3,2;3,2;1,1;1,2;1,1;1,1;0,8;27,1;35,7;30,8;800,0;2020-08-16 22:14:21;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 00:20:00;measure;4,1;3,2;3,2;3,2;1,1;1,2;1,1;1,1;0,8;27,2;35,6;30,8;800,0;2020-08-16 22:19:21;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 00:25:00;measure;4,0;3,1;3,1;3,0;1,1;1,2;1,1;1,1;0,8;26,9;35,5;30,4;800,0;2020-08-16 22:24:21;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 00:30:00;measure;3,8;2,7;2,7;2,4;1,1;1,2;1,1;1,1;0,8;27,0;35,5;29,8;800,0;2020-08-16 22:29:21;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 00:35:00;measure;4,1;2,5;2,5;2,2;1,1;1,2;1,1;1,1;0,8;26,7;35,4;28,3;800,0;2020-08-16 22:34:21;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 00:40:00;measure;3,1;1,9;1,9;1,7;1,1;1,2;1,1;1,1;0,8;26,8;35,4;28,3;800,0;2020-08-16 22:39:21;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 00:45:00;measure;2,2;1,4;1,4;1,4;1,1;1,2;1,1;1,1;0,8;26,9;35,3;28,5;800,0;2020-08-16 22:44:22;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 00:50:00;measure;1,8;1,4;1,4;1,3;1,1;1,2;1,1;1,1;0,8;27,0;35,2;28,9;800,0;2020-08-16 22:49:22;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 00:55:00;measure;2,5;1,6;1,6;1,3;1,1;1,2;1,1;1,1;0,8;26,7;35,2;28,8;800,0;2020-08-16 22:54:22;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 01:00:00;measure;3,0;1,9;1,9;1,4;1,1;1,2;1,1;1,1;0,8;26,9;35,2;28,7;800,0;2020-08-16 22:59:22;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 01:05:00;measure;2,9;1,6;1,6;1,3;1,1;1,2;1,1;1,1;0,8;26,4;35,1;29,0;800,0;2020-08-16 23:04:22;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 01:10:00;measure;2,8;1,5;1,5;1,4;1,1;1,2;1,1;1,1;0,8;26,4;35,1;29,4;800,0;2020-08-16 23:09:23;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 01:15:00;measure;3,1;1,5;1,5;1,5;1,1;1,2;1,1;1,1;0,8;26,3;35,0;29,6;800,0;2020-08-16 23:14:23;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 01:20:00;measure;3,4;1,7;1,7;1,7;1,1;1,2;1,1;1,1;0,8;25,7;34,9;30,0;800,0;2020-08-16 23:19:23;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 01:25:00;measure;3,0;1,4;1,4;1,4;1,1;1,2;1,1;1,1;0,8;25,8;34,8;30,3;800,0;2020-08-16 23:24:23;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 01:30:00;measure;2,2;1,1;1,1;1,1;1,1;1,2;1,1;1,1;0,8;26,2;34,7;30,4;800,0;2020-08-16 23:29:23;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 01:35:00;measure;1,2;0,6;0,6;0,6;1,1;1,2;1,1;1,1;0,8;26,1;34,6;30,6;800,0;2020-08-16 23:34:24;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 01:40:00;measure;0,9;0,6;0,6;0,6;1,1;1,2;1,1;1,1;0,8;26,3;34,6;30,6;800,0;2020-08-16 23:39:24;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 01:45:00;measure;0,8;0,4;0,4;0,4;1,1;1,2;1,1;1,1;0,8;26,0;34,6;30,6;800,0;2020-08-16 23:44:24;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 01:50:00;measure;0,6;0,4;0,4;0,3;1,1;1,2;1,1;1,1;0,8;26,0;34,5;31,0;800,0;2020-08-16 23:49:24;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 01:55:00;measure;0,4;0,3;0,3;0,2;1,1;1,2;1,1;1,1;0,8;26,0;34,5;31,4;800,0;2020-08-16 23:54:24;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 02:00:00;measure;0,2;0,2;0,2;0,1;1,1;1,2;1,1;1,1;0,8;25,7;34,4;31,4;800,0;2020-08-16 23:59:25;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 02:05:00;measure;0,1;0,1;0,1;0,1;1,1;1,2;1,1;1,1;0,8;25,9;34,4;31,5;800,0;2020-08-17 00:04:25;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 02:10:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;25,6;34,4;31,9;800,0;2020-08-17 00:09:25;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 02:15:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;25,3;34,3;31,7;800,0;2020-08-17 00:14:25;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 02:20:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;25,3;34,2;31,9;800,0;2020-08-17 00:19:25;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 02:25:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;25,2;34,2;32,3;800,0;2020-08-17 00:24:26;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 02:30:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;25,0;34,0;32,9;800,0;2020-08-17 00:29:26;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 02:35:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;25,0;33,9;33,4;800,0;2020-08-17 00:34:26;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 02:40:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;24,9;33,8;33,8;800,0;2020-08-17 00:39:26;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 02:45:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;24,7;33,7;33,8;800,0;2020-08-17 00:44:26;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 02:50:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;24,9;33,6;33,9;800,0;2020-08-17 00:49:27;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 02:55:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;24,7;33,5;34,2;800,0;2020-08-17 00:54:27;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 03:00:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;24,6;33,4;34,5;800,0;2020-08-17 00:59:27;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 03:05:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;24,7;33,3;34,6;800,0;2020-08-17 01:04:27;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
