***begin of header***
date&time [local time];serial-no;type;PM10 [ug/m3];PM2.5 [ug/m3];PM1 [ug/m3];0,35 [um];0,46 [um];0,66 [um];1,0 [um];1,3 [um];1,7 [um];2,3 [um];3,0 [um];4,0 [um];5,2 [um];6,5 [um];8,0 [um];10 [um];12 [um];14 [um];16 [um];18 [um];20 [um];22 [um];25 [um];28 [um];31 [um];34 [um];37 [um];serial-OPC;T-out [°C];T-aerosol [°C];rH [%];date&time [UTC];longitude [°];latitude [°];height [m];time-resolution [s];software-version;last calibration [local time];configuration version
***end of header***
2020-08-17 00:00:06;SN19002;measure;11,21;10,58;10,04;46447,7;3412,1;582,7;126,2;96,1;114,1;48,1;30,0;6,0;6,0;0,0;0,0;0,0;0,0;0,0;6,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;22,9;32,5;37,7;2020-08-16 22:00:06;E10,921837;N48,381053;493,200;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:05:06;SN19002;measure;12,73;9,94;9,63;44149,5;3168,8;550,6;61,2;91,8;30,6;36,7;12,2;12,2;6,1;12,2;6,1;6,1;6,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;22,9;32,5;37,3;2020-08-16 22:05:06;E10,921862;N48,381037;483,600;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:10:06;SN19002;measure;12,15;8,96;8,44;38080,3;2636,9;569,8;115,2;127,3;66,7;36,4;48,5;18,2;6,1;6,1;12,1;6,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;23,1;32,5;37,1;2020-08-16 22:10:06;E10,921873;N48,381103;488,200;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:15:06;SN19002;measure;10,80;9,08;8,67;38389,5;2406,5;448,6;103,1;121,2;78,8;36,4;6,1;12,1;12,1;0,0;0,0;6,1;6,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;23,3;32,4;36,4;2020-08-16 22:15:06;E10,921902;N48,381142;497,100;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:20:06;SN19002;measure;11,53;8,91;8,39;36886,2;2479,3;388,0;115,2;121,2;66,7;48,5;12,1;42,4;6,1;6,1;0,0;6,1;6,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;23,3;32,4;36,0;2020-08-16 22:20:06;E10,921910;N48,381070;502,000;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:25:06;SN19002;measure;9,00;7,46;6,96;30759,3;1888,2;395,3;94,4;106,2;70,8;53,1;29,5;5,9;5,9;5,9;5,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;23,1;32,5;35,7;2020-08-16 22:25:06;E10,921888;N48,381043;490,100;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:30:06;SN19002;measure;8,04;6,94;6,53;28642,1;1788,2;406,1;78,8;121,2;60,6;36,4;18,2;12,1;6,1;6,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;22,9;32,5;35,0;2020-08-16 22:30:06;E10,921917;N48,381008;489,200;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:35:06;SN19002;measure;8,40;6,58;6,06;26308,8;1536,0;285,8;77,4;107,2;77,4;59,5;11,9;23,8;0,0;6,0;0,0;6,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;22,9;32,5;34,3;2020-08-16 22:35:06;E10,921845;N48,381095;487,400;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:40:06;SN19002;measure;8,64;6,54;6,23;26684,0;1646,0;408,5;60,1;84,1;60,1;12,0;18,0;18,0;6,0;18,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;23,1;32,4;33,8;2020-08-16 22:40:06;E10,921792;N48,381057;486,600;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:45:06;SN19002;measure;8,17;6,58;6,20;26137,4;1754,1;414,5;84,1;126,2;78,1;24,0;12,0;12,0;6,0;6,0;6,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;23,4;32,4;33,5;2020-08-16 22:45:06;E10,921878;N48,380988;488,700;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:50:06;SN19002;measure;7,42;6,03;5,67;24052,0;1445,7;253,7;106,2;64,9;100,3;17,7;0,0;17,7;11,8;0,0;5,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;23,2;32,4;33,5;2020-08-16 22:50:06;E10,921887;N48,381017;488,200;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 00:55:06;SN19002;measure;6,94;5,86;5,39;22709,9;1391,0;264,4;126,5;51,7;57,5;51,7;17,2;11,5;5,7;5,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;23,4;32,5;33,2;2020-08-16 22:55:06;E10,921850;N48,381053;491,300;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:00:06;SN19002;measure;8,42;5,78;5,33;22334,9;1569,6;289,1;112,1;70,8;100,3;17,7;11,8;41,3;17,7;11,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;23,2;32,4;32,9;2020-08-16 23:00:06;E10,921838;N48,381082;491,500;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:05:06;SN19002;measure;7,41;6,07;5,68;23890,1;1547,8;303,6;101,2;136,9;41,7;29,8;17,9;17,9;6,0;0,0;6,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;23,2;32,4;33,1;2020-08-16 23:05:06;E10,921848;N48,381065;490,900;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:10:06;SN19002;measure;7,44;6,30;5,96;25008,0;1609,9;330,4;144,2;108,1;36,0;24,0;18,0;12,0;6,0;6,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;23,2;32,4;33,0;2020-08-16 23:10:06;E10,921868;N48,381100;489,800;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:15:06;SN19002;measure;8,88;6,76;6,38;26790,0;2012,2;342,3;118,0;100,3;70,8;5,9;35,4;17,7;0,0;11,8;5,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;23,2;32,4;33,3;2020-08-16 23:15:06;E10,921883;N48,381070;491,500;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:20:06;SN19002;measure;8,09;6,62;6,33;26767,3;1780,1;357,2;77,4;95,3;23,8;29,8;6,0;17,9;11,9;0,0;6,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;23,3;32,3;33,5;2020-08-16 23:20:06;E10,921897;N48,381032;491,100;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:25:06;SN19002;measure;7,83;7,32;6,99;29655,6;1928,2;426,5;96,1;120,1;24,0;24,0;24,0;12,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;23,2;32,3;33,8;2020-08-16 23:25:06;E10,921903;N48,381032;491,000;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:30:06;SN19002;measure;9,05;7,27;6,94;29510,3;2130,2;495,7;59,0;100,3;29,5;23,6;11,8;41,3;5,9;0,0;5,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;23,2;32,3;34,1;2020-08-16 23:30:06;E10,921903;N48,381030;490,700;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:35:06;SN19002;measure;8,15;7,25;6,96;30083,4;2024,2;381,0;71,4;83,4;47,6;23,8;17,9;0,0;17,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;22,9;32,3;34,4;2020-08-16 23:35:06;E10,921888;N48,381025;487,200;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:40:06;SN19002;measure;9,89;8,01;7,44;32242,4;2112,5;419,0;112,1;76,7;59,0;64,9;35,4;17,7;5,9;5,9;5,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;22,9;32,3;34,5;2020-08-16 23:40:06;E10,921863;N48,381015;482,800;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:45:06;SN19002;measure;9,83;8,15;7,76;33855,7;2214,6;523,9;89,3;113,1;77,4;23,8;6,0;29,8;11,9;0,0;6,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;22,8;32,2;34,9;2020-08-16 23:45:06;E10,921878;N48,381003;480,400;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:50:06;SN19002;measure;9,70;8,71;8,15;35676,8;2301,3;419,0;94,4;159,3;64,9;70,8;11,8;17,7;0,0;0,0;5,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;22,9;32,2;35,3;2020-08-16 23:50:06;E10,921882;N48,381003;478,200;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 01:55:06;SN19002;measure;9,65;8,30;7,91;34878,3;2345,5;473,8;105,3;87,7;58,5;35,1;17,5;11,7;23,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;22,8;32,1;35,7;2020-08-16 23:55:06;E10,921880;N48,381000;476,800;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 02:00:06;SN19002;measure;10,62;8,83;8,18;36418,9;2388,9;411,7;81,2;156,6;92,8;63,8;46,4;11,6;5,8;5,8;5,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;22,6;32,1;36,0;2020-08-17 00:00:06;E10,921900;N48,380980;474,000;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 02:05:06;SN19002;measure;10,48;9,07;8,62;38176,2;2690,6;531,0;106,2;159,3;76,7;35,4;29,5;0,0;5,9;5,9;5,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;22,8;32,0;36,3;2020-08-17 00:05:06;E10,921897;N48,380978;473,000;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 02:10:06;SN19002;measure;9,47;8,76;8,23;36475,1;2462,5;567,4;105,3;128,7;76,0;70,2;5,8;11,7;0,0;5,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;22,8;31,9;36,6;2020-08-17 00:10:06;E10,921885;N48,380948;468,700;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 02:15:06;SN19002;measure;8,95;8,18;7,67;33940,2;2561,7;514,7;105,3;99,4;76,0;64,3;17,5;5,8;0,0;0,0;5,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;22,8;31,9;36,6;2020-08-17 00:15:06;E10,921865;N48,381028;470,800;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 02:20:06;SN19002;measure;9,74;8,68;8,01;35394,0;2643,4;488,2;95,3;125,0;53,6;101,2;29,8;6,0;6,0;6,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;22,8;31,8;36,5;2020-08-17 00:20:06;E10,921907;N48,381040;474,500;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 02:25:06;SN19002;measure;16,80;8,90;8,07;35846,5;2417,2;470,3;136,9;131,0;113,1;71,4;35,7;77,4;23,8;17,9;6,0;23,8;11,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;22,6;31,8;36,5;2020-08-17 00:25:06;E10,921883;N48,381037;480,200;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 02:30:06;SN19002;measure;10,66;8,65;8,27;36585,5;2726,2;442,6;100,3;88,5;41,3;35,4;29,5;5,9;5,9;5,9;11,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;22,8;31,8;36,6;2020-08-17 00:30:06;E10,921892;N48,381048;478,900;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 02:35:06;SN19002;measure;9,36;8,71;8,31;36713,2;2661,1;565,6;125,0;125,0;65,5;35,7;11,9;6,0;0,0;6,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;22,8;31,8;36,7;2020-08-17 00:35:06;E10,921930;N48,380993;478,400;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 02:40:06;SN19002;measure;10,63;8,85;8,27;37052,5;2366,8;486,6;132,2;102,1;84,1;72,1;18,0;12,0;24,0;6,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;22,5;31,8;36,8;2020-08-17 00:40:06;E10,921908;N48,381055;481,400;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 02:45:06;SN19002;measure;9,60;8,57;8,07;36491,1;2496,1;554,7;177,0;82,6;64,9;59,0;11,8;17,7;0,0;5,9;0,0;0,0;5,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;22,2;31,7;36,9;2020-08-17 00:45:06;E10,921908;N48,381095;472,500;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 02:50:06;SN19002;measure;9,98;8,24;7,84;36293,0;2500,5;452,5;101,2;160,7;59,5;41,7;0,0;29,8;29,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;21,8;31,7;37,1;2020-08-17 00:50:06;E10,921895;N48,380977;475,300;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 02:55:06;SN19002;measure;9,81;8,49;7,97;36512,2;2578,5;507,4;112,1;118,0;59,0;53,1;41,3;11,8;5,9;0,0;5,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;21,8;31,5;37,0;2020-08-17 00:55:06;E10,921965;N48,380982;470,100;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 03:00:06;SN19002;measure;9,02;7,52;6,99;32222,8;2275,3;532,3;99,4;128,7;93,6;76,0;0,0;5,8;5,8;0,0;5,8;5,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;21,6;31,5;37,1;2020-08-17 01:00:06;E10,921888;N48,381032;486,300;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 03:05:06;SN19002;measure;8,10;6,98;6,58;30527,3;2309,6;448,6;175,8;121,2;66,7;24,2;18,2;24,2;12,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;21,2;31,3;36,9;2020-08-17 01:05:06;E10,921903;N48,381020;485,200;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 03:10:06;SN19002;measure;9,07;7,03;6,71;31150,0;2128,9;397,6;134,6;122,3;24,5;36,7;12,2;12,2;0,0;18,4;6,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;21,1;31,2;36,8;2020-08-17 01:10:06;E10,921908;N48,381005;483,400;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
2020-08-17 03:15:06;SN19002;measure;9,80;7,27;6,69;30933,5;2127,7;575,9;163,7;109,1;109,1;36,4;30,3;42,4;24,2;0,0;6,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;177340611;21,1;31,0;37,0;2020-08-17 01:15:06;E10,921908;N48,381055;483,700;300;SW V1-11 (2020-06-17);2019-06-11 14:16:04;original set-up
